Variable,Estimate,Std. Error,t value,p_value,significance
SUD15_Snuff15:PRS_Hippocampal_CA4,0.0219,0.0298,0.734,0.463,
SUD15_Cannabis15:SCZ15_easily_scared15,-0.009,0.0123,-0.733,0.463,
SUD15_Cannabis15:ASD9_own_terms9,0.0147,0.0203,0.722,0.47,
SUD15_OtherDrugs15:SCZ15_headaches15,-0.0052,0.0072,-0.721,0.471,
PRS_MGE_interneuron,-0.0135,0.0188,-0.72,0.472,
SUD15_OtherDrugs15:SCZ15_Read_others_minds15,0.0046,0.0067,0.697,0.486,
SUD15_Cannabis15:ACE15_rumours_bullying15,0.0082,0.0118,0.696,0.487,
SUD15_Painkillers_opioids15:ADHD9_often_move9,0.0085,0.0123,0.695,0.487,
ADHD9_often_forgetful9,-0.0106,0.0156,-0.68,0.497,
SUD15_Snuff15:SEX,-0.0057,0.0085,-0.67,0.503,
SUD15_Snuff15:ACE18_witness_crime18,0.0061,0.0091,0.667,0.505,
SUD15_Cannabis15:SES_education_father,-0.0039,0.0059,-0.652,0.514,
ADHD9_difficulty_following_instructions9,0.0045,0.0071,0.633,0.527,
SUD15_OtherDrugs15:SEX,0.0086,0.0136,0.631,0.528,
SUD15_Snuff15:ASD9_absorbed_problems9,-0.0249,0.0395,-0.63,0.529,
ASD9_repeat_words9,-0.0179,0.0285,-0.63,0.529,
SES_birth_country_father,-0.0075,0.0119,-0.628,0.53,
SUD15_Snuff15:SES_education_mother,0.0022,0.0035,0.623,0.533,
SUD15_Alcohol15:ASD9_repeat_words9,0.0047,0.0077,0.614,0.539,
PRS_Miscellaneous,0.0122,0.0201,0.607,0.544,
SUD15_Painkillers_opioids15:ASD9_difficulty_expect_behavior9,-0.014,0.0232,-0.604,0.546,
SUD15_Snuff15:SCZ15_unhappy15,0.004,0.0068,0.583,0.56,
ASD9_strange_movements9,0.0163,0.0281,0.58,0.562,
ASD9_absorbed_details9,0.0032,0.0059,0.547,0.585,
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,0.0075,0.0138,0.542,0.588,
SUD15_Cigarettes15:PRS_Miscellaneous,0.0119,0.0222,0.537,0.591,
factor(batch)PSYC:PC1,-0.0798,0.1496,-0.534,0.594,
factor(batch)GSA1:PC2,-0.276,0.521,-0.53,0.596,
PRS_Deep_layer_intratelencepha,-0.0112,0.0212,-0.526,0.599,
SCZ15_Racing_thoughts15,0.0015,0.003,0.523,0.601,
ADHD9_difficulty_waiting9,0.0025,0.0048,0.517,0.605,
ACE18_hate_crime18,-0.018,0.0349,-0.516,0.606,
SUD15_Cigarettes15:ASD9_absorbed_own9,-0.0035,0.0069,-0.515,0.606,
SUD15_Alcohol15,-0.007,0.0136,-0.515,0.606,
SUD15_Cannabis15,-0.0209,0.0407,-0.513,0.608,
ADHD9_avoid_mental_effort_tasks9,-0.0026,0.005,-0.507,0.612,
SCZ15_unhappy15,-0.0018,0.0037,-0.504,0.614,
