modality,modality_idx,depth,val_rmse_mean,val_rmse_std,val_r2_mean,val_r2_std,val_spearman_mean,val_spearman_std,val_pearson_mean,val_pearson_std
ADHD9,2,4,0.08798369567475615,0.002068046695941394,0.22138558626174926,0.027979755049815952,0.4595232319229998,0.0308756561613166,0.48082685,0.022548554
ADHD9,2,5,0.08834983722630593,0.0016971363445390302,0.21460424661636351,0.03210574169049555,0.46000112345872035,0.03917511372422729,0.47790384,0.029489217
ASD9,3,1,0.08797249993760267,0.0016685679850630697,0.22137559652328492,0.02942469455303886,0.4618829807257101,0.037708538923852945,0.4816875,0.028583083
ASD9,3,2,0.08769754632783508,0.0015687194933529116,0.2260761857032776,0.03252469423785394,0.464591777391152,0.04082801871782132,0.48267278,0.028284475
ASD9,3,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
ASD9,3,4,0.08818905334334726,0.0019148435205912566,0.21755222082138062,0.03129075414004039,0.4547625623920424,0.03718120268614964,0.47714025,0.030265022
ASD9,3,5,0.08789282471392905,0.0019489273507392521,0.22248806953430175,0.03918421789275187,0.46388399549897236,0.04141517020968985,0.4817872,0.02860013
ACE15,4,1,0.08838829019658931,0.0018114965633713766,0.21380399465560912,0.03553730242110795,0.4519281411007838,0.03859706120957199,0.4750722,0.028986324
ACE15,4,2,0.08801375504134443,0.0017464226019151899,0.22031772136688232,0.037423690615136194,0.46176133062410507,0.03845228944055536,0.48264402,0.031414486
ACE15,4,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
ACE15,4,4,0.08824176679916902,0.0014732474712065822,0.21645723581314086,0.03137519586591747,0.4634911645535544,0.03351657956033438,0.4788351,0.027153572
ACE15,4,5,0.08872333358411574,0.0018428375147942157,0.20831429958343506,0.02288617620217944,0.452406633832107,0.027863800458803836,0.47093862,0.016830279
ACE18,5,1,0.08807365666623308,0.001583141471025231,0.2196747064590454,0.026126988200172917,0.4603124216713546,0.030542046107193514,0.4773932,0.019082308
ACE18,5,2,0.08830177330303075,0.0012564008708758256,0.21511642932891845,0.03678167257296514,0.4598242781272712,0.03891797466869229,0.4795466,0.026168229
ACE18,5,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
ACE18,5,4,0.08885838070340901,0.0011585081663781055,0.20523658990859986,0.03548608587623163,0.44661957079211545,0.03147192105661819,0.46913123,0.025309246
ACE18,5,5,0.08815959002986665,0.0022087166772240445,0.21792820692062378,0.03746371790803,0.4598493367138188,0.03618080132484893,0.47893086,0.029039599
SUD18,6,1,0.0880941242495303,0.0015601728005092276,0.21928138732910157,0.026841163509018915,0.46009264342238154,0.031598160703965886,0.47712058,0.019604418
SUD18,6,2,0.08822166075003621,0.0012550958999907303,0.21657800674438477,0.035845559712768885,0.4608645255133843,0.037734915695867066,0.48094988,0.025378015
SUD18,6,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
SUD18,6,4,0.08864870450455481,0.0014925316508201945,0.20921595096588136,0.032026095959473456,0.45261448821947264,0.030918921583513996,0.47461104,0.02178503
SUD18,6,5,0.08818718776913367,0.0022221777581718114,0.21741704940795897,0.03802351966424956,0.45935921602526336,0.03657250048670712,0.47850075,0.029581938
SES,7,1,0.08805483790614423,0.0015566350415171,0.2200000524520874,0.026107379704723686,0.46049789961245136,0.0313089534108007,0.47778207,0.018941276
SES,7,2,0.08822879232334463,0.0012111922325416787,0.2164069890975952,0.036581825960718996,0.46089603746687857,0.03833052485280793,0.48087144,0.026036205
SES,7,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
SES,7,4,0.08873254985592145,0.0012950014732371398,0.20760929584503174,0.03332482055806492,0.45234383985662296,0.03101449499132002,0.47388673,0.022039413
SES,7,5,0.08806695659922574,0.0022118906914089056,0.21951557397842408,0.03847019707802177,0.46144837181708187,0.03703228953657786,0.48058996,0.029887171
SEX,8,1,0.08819429754703821,0.0017594935247717762,0.21769856214523314,0.02271609943709226,0.4577692834773394,0.026321930423650417,0.47607732,0.01896888
SEX,8,2,0.0878828335849154,0.0019240879650036446,0.2231101393699646,0.027874041083672668,0.4647418046519712,0.033474173789447156,0.48165864,0.024429966
SEX,8,3,0.08851135957219583,0.0016524775603337077,0.21174591779708862,0.03118948803264552,0.45787976133076647,0.03645976168393335,0.47297066,0.025311995
SEX,8,4,0.08828084773508005,0.0014222377455381863,0.2153353214263916,0.040203107679318034,0.4615516832633175,0.040232721592578666,0.47792882,0.031349678
SEX,8,5,0.0879008780535522,0.0017223078749842265,0.22269729375839234,0.028673799353096076,0.4634640594501471,0.03549786508114115,0.48239666,0.023652114
