modality,modality_idx,depth,val_rmse_mean,val_rmse_std,val_r2_mean,val_r2_std,val_spearman_mean,val_spearman_std,val_pearson_mean,val_pearson_std
ACE15,4,5,0.15365486727504285,0.003930766129344953,0.20579785108566284,0.039762598730201465,0.4541649417454364,0.037974054795833184,0.47994715,0.029823668
ACE18,5,1,0.1525403897650383,0.0026501945365677527,0.2177374005317688,0.01979465493438711,0.4557113077557068,0.028792607961859874,0.4810893,0.020966638
ACE18,5,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
ACE18,5,3,0.15339737772120715,0.003122841297768375,0.2087811589241028,0.027675623929388236,0.44815810717093585,0.03321154724114522,0.4777979,0.027565913
ACE18,5,4,0.15354301251586683,0.003762624250626131,0.20723358392715455,0.03256245000227396,0.45214224343728987,0.03731947966665357,0.4765056,0.02840684
ACE18,5,5,0.1534343476132674,0.003484574180452245,0.20832643508911133,0.03168362507890312,0.4491127208520318,0.040411040132598115,0.47618204,0.031592067
SUD18,6,1,0.1525585643492282,0.002636321460716523,0.21755094528198243,0.019701354690479365,0.45560695759792214,0.028514794507500427,0.48084226,0.021084702
SUD18,6,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
SUD18,6,3,0.1533999783647443,0.0031617994819819646,0.20875526666641236,0.027882177605884007,0.44582538237267544,0.03121965721666368,0.4754402,0.024292335
SUD18,6,4,0.15357173363220553,0.0037450674213004255,0.2069277286529541,0.03268277923911052,0.4518278452901088,0.03725156199361531,0.47612333,0.028595053
SUD18,6,5,0.15342389146855567,0.0035279703876627197,0.20844112634658812,0.031765329695452656,0.44933253867835604,0.040555915608161165,0.47621927,0.03170068
SES,7,1,0.1525911195747451,0.002617961170044521,0.21720566749572753,0.020023037362626995,0.4551330384754486,0.028561750982952973,0.4805985,0.021082073
SES,7,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
SES,7,3,0.15335484586361298,0.003138315714795201,0.2092273235321045,0.027547603276467197,0.44614557828929924,0.030983098363771788,0.47404566,0.025027907
SES,7,4,0.1535684690025109,0.0037196957026761094,0.20695714950561522,0.03263130606159614,0.4517370756914487,0.03742312807464574,0.47615966,0.028798368
SES,7,5,0.15345248913480466,0.0035453106605723324,0.20813271999359131,0.03220381448351566,0.4490412670958451,0.04053760345086207,0.47606605,0.031931844
SEX,8,1,0.15307089296600146,0.003302799814695237,0.21197279691696166,0.0331187063325645,0.454153591861698,0.03431143078288611,0.48048845,0.026832733
SEX,8,2,0.1532018086936453,0.003747111106450666,0.2105496883392334,0.037039267453271144,0.4542011290551817,0.033058884100183525,0.4794057,0.030169306
SEX,8,3,0.15242951154641018,0.004429016734108767,0.21882874965667726,0.03352824279465167,0.4550164584022932,0.04100411508129708,0.48287302,0.032335546
SEX,8,4,0.1531818929978926,0.003796078176130601,0.21099774837493895,0.0315069235402818,0.454674860597745,0.036625466809614156,0.48038206,0.028541096
SEX,8,5,0.15270145638282537,0.003321418049809186,0.21597473621368407,0.027718478532300913,0.45426977326275175,0.03968796873131413,0.48255554,0.02456282
