number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
29,0.08876225805754592,2026-04-29 00:38:02.453735,2026-04-29 00:39:46.924045,0 days 00:01:44.470310,huber,4,0.40020697279905604,8,2.7575761829192675,9,0.050191266853391245,5,1,2,4,3,3,4,2,3,0.00028858759792341416,12,12,0.4526114002908439,2,3,1.2304430087708497e-05,COMPLETE
30,0.08911413423483384,2026-04-29 00:39:46.924859,2026-04-29 00:41:19.405970,0 days 00:01:32.481111,huber,4,0.4109362333527242,8,2.869071038822473,8,0.05585529766656287,5,1,2,4,4,1,4,2,4,0.0003560919413583848,15,11,0.4497938632616637,4,4,1.2147697989862918e-05,COMPLETE
31,0.08883835251373487,2026-04-29 00:41:19.406772,2026-04-29 00:43:14.212354,0 days 00:01:54.805582,huber,4,0.33596023196992175,8,2.6212417781405595,10,0.03673485077965342,5,1,2,5,3,3,4,1,3,0.0007321690597586578,12,13,0.393399100379595,2,3,1.008263154462235e-05,COMPLETE
32,0.08834048484537571,2026-04-29 00:43:14.213184,2026-04-29 00:45:15.607461,0 days 00:02:01.394277,huber,4,0.3677896656588006,8,2.6030195686778295,9,0.04279091199116786,5,1,2,4,3,4,4,3,3,0.00025407408631575654,12,13,0.3803194724299379,2,3,1.0800833841975412e-05,COMPLETE
33,0.08997129115702635,2026-04-29 00:45:15.608248,2026-04-29 00:46:06.281207,0 days 00:00:50.672959,huber,8,0.3754837483560075,8,2.4943817414446428,9,0.053890153720186476,5,2,3,3,4,4,3,3,3,0.0002643615484666999,13,10,0.35863351795298615,2,3,1.859670753397455e-05,COMPLETE
34,0.08987737109487907,2026-04-29 00:46:06.282036,2026-04-29 00:48:01.826879,0 days 00:01:55.544843,huber,4,0.2778967162113655,8,1.937521850814192,7,0.07840785755614448,5,1,2,4,3,4,4,4,4,7.99555180328653e-05,11,12,0.3046301615544895,2,4,2.3311135974699393e-05,COMPLETE
35,0.08990047571403274,2026-04-29 00:48:01.827669,2026-04-29 00:50:08.070558,0 days 00:02:06.242889,mse,4,0.32941155617100865,8,2.6530586071248674,12,0.09422665541106984,5,2,2,4,5,5,2,3,3,0.0004031245720330017,15,13,0.428418427694922,2,5,4.347765204280365e-05,COMPLETE
36,0.10862406455038849,2026-04-29 00:50:08.071352,2026-04-29 00:50:16.361980,0 days 00:00:08.290628,huber,32,0.36574675550393776,7,2.955971301282022,12,0.11758323810357618,4,1,3,3,3,4,3,2,4,0.0002213016317206005,12,23,0.37223905354021275,3,3,1.071759323118218e-05,PRUNED
37,0.08979856349910142,2026-04-29 00:50:16.362723,2026-04-29 00:52:11.844706,0 days 00:01:55.481983,mse,4,0.28397286735149296,8,2.3928947105917167,10,0.04045390409535508,5,1,2,4,4,2,4,3,1,0.00012145938336735799,17,17,0.46282627371433915,3,4,0.0005668275503739704,COMPLETE
38,0.1009268492580039,2026-04-29 00:52:11.845548,2026-04-29 00:52:27.177443,0 days 00:00:15.331895,huber,16,0.40996388304130993,7,2.0974298915152594,8,0.04727205532046073,4,3,3,4,4,3,4,2,3,0.0003626482632475407,18,30,0.4241261013209482,2,5,1.9171075339043147e-05,PRUNED
39,0.09071184161620004,2026-04-29 00:52:27.178191,2026-04-29 00:53:31.576604,0 days 00:01:04.398413,mse,6,0.24820803486498605,8,2.739804145476114,14,0.10193955863943542,2,3,4,4,1,5,4,4,2,0.0008881857395229951,14,26,0.32518773850778115,5,5,5.803187304436636e-05,COMPLETE
40,0.09431172508397913,2026-04-29 00:53:31.577427,2026-04-29 00:54:20.640792,0 days 00:00:49.063365,huber,4,0.31853341133606394,8,1.2418343397958183,9,0.07484455298072218,3,2,2,5,3,3,2,2,3,4.022038909680528e-05,16,11,0.6403885910293585,4,3,3.8094738368052435e-05,PRUNED
41,0.08838255490100527,2026-04-29 00:54:20.641562,2026-04-29 00:56:14.873931,0 days 00:01:54.232369,huber,4,0.3405708120374924,8,2.5740209100825777,10,0.03730652934030882,5,1,2,5,3,3,4,1,3,0.0006933954805364104,12,13,0.4057916704873299,2,3,1.0345858446820104e-05,COMPLETE
42,0.08906164482609613,2026-04-29 00:56:14.874765,2026-04-29 00:58:12.358367,0 days 00:01:57.483602,huber,4,0.3656852804964306,8,2.496224517790248,9,0.03494592978704131,5,1,2,5,3,3,3,1,4,0.00019204829418611145,12,14,0.39480712936393153,2,8,1.4312053055049894e-05,COMPLETE
43,0.08847213275085385,2026-04-29 00:58:12.359194,2026-04-29 00:59:53.563920,0 days 00:01:41.204726,huber,4,0.30090624901280316,7,2.993281655295632,12,0.021309686440697525,5,1,3,5,3,3,4,1,3,0.0004992837715717032,11,12,0.4172591274400401,2,2,1.766966340349935e-05,COMPLETE
44,0.08828183897632164,2026-04-29 00:59:53.564755,2026-04-29 01:01:27.885314,0 days 00:01:34.320559,huber,4,0.1928228216274375,7,2.9129044876608456,13,0.02178954155692172,5,1,4,5,2,4,4,1,2,0.0005019060959050434,11,10,0.40706704827056944,2,2,1.97432838105615e-05,COMPLETE
45,0.08899635318051392,2026-04-29 01:01:27.886121,2026-04-29 01:02:37.105799,0 days 00:01:09.219678,huber,6,0.19442604126697807,7,2.9636812294765065,13,0.02180533603534945,5,1,4,5,3,4,4,1,3,0.0004630807304545048,11,10,0.417105041645537,2,2,1.9875320063211908e-05,COMPLETE
46,0.09957654729952355,2026-04-29 01:02:37.106592,2026-04-29 01:02:54.556298,0 days 00:00:17.449706,mse,16,0.11535313850135653,7,2.8660437647170616,15,0.02270222939795141,5,2,4,5,4,4,4,1,3,0.000842314560097293,13,10,0.3344496206904537,2,2,1.5755053678243668e-05,PRUNED
47,0.08810896773294083,2026-04-29 01:02:54.557075,2026-04-29 01:04:27.475207,0 days 00:01:32.918132,huber,4,0.24404259470937037,7,2.6381167276961652,13,0.03342532350375165,1,1,5,5,1,4,4,1,2,0.0005290143613782196,10,12,0.3731385035657518,2,2,2.9403379028811774e-05,COMPLETE
48,0.08996975914706186,2026-04-29 01:04:27.476036,2026-04-29 01:05:28.445134,0 days 00:01:00.969098,huber,8,0.20491931283406783,8,2.266378407738493,15,0.03566606578528858,1,1,5,5,1,4,4,5,2,0.0003111271690167657,10,13,0.3705801434932788,3,6,3.1383029435560225e-05,COMPLETE
49,0.08862901567688321,2026-04-29 01:05:28.445932,2026-04-29 01:06:56.248272,0 days 00:01:27.802340,huber,4,0.2362749936397685,7,2.582005822447618,13,0.058575938644202845,1,2,5,5,1,5,3,1,1,0.0010854576045455583,9,11,0.40217845186790413,2,7,2.5188581375367888e-05,COMPLETE
