number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
29,0.148758134128657,2026-04-29 01:27:52.001390,2026-04-29 01:29:39.155426,0 days 00:01:47.154036,huber,4,0.11053948557280441,7,2.525103474225967,10,0.1285920280585329,3,3,3,2,3,1,4,3,3,0.0008197635124357406,7,17,0.5952891412384348,4,5,0.0027360665699411608,COMPLETE
30,0.14981239801330978,2026-04-29 01:29:39.156264,2026-04-29 01:31:52.907460,0 days 00:02:13.751196,huber,4,0.10038858200412626,7,2.487987791383486,13,0.09674053647000982,4,3,3,2,3,1,4,2,4,0.00018335913828806336,7,17,0.6803610944114833,4,5,0.0027376550923562367,COMPLETE
31,0.1555132303872797,2026-04-29 01:31:52.908287,2026-04-29 01:33:49.972561,0 days 00:01:57.064274,huber,4,0.11285164772937975,7,2.4551039257039986,16,0.12196962567370015,4,3,3,2,3,1,4,2,4,0.00020234392297691287,7,18,0.6849789682663353,4,5,0.0028088095451269716,PRUNED
32,0.14905677412539872,2026-04-29 01:33:49.973333,2026-04-29 01:35:44.957342,0 days 00:01:54.984009,huber,4,0.12572478729477105,7,2.7691335082238515,14,0.09967419137297844,3,4,3,2,3,1,4,2,3,0.0006052061556482464,7,16,0.5997171110202921,4,4,0.009526366506238686,COMPLETE
33,0.15824285055533405,2026-04-29 01:35:44.958182,2026-04-29 01:37:27.744884,0 days 00:01:42.786702,huber,4,0.10323904797358884,7,2.743593696316865,13,0.09481757609337639,3,5,3,2,3,1,4,2,3,0.0001959006863337912,6,15,0.6637978781152636,5,4,0.008603536104766638,PRUNED
34,0.20477659674180165,2026-04-29 01:37:27.745651,2026-04-29 01:37:35.126926,0 days 00:00:07.381275,huber,32,0.13588967581430383,7,2.6738892041573123,14,0.10108354422165415,3,4,2,2,4,1,4,2,3,8.342784048925821e-05,8,21,0.620209413830274,4,3,0.0055574350746200925,PRUNED
35,0.14828249718771663,2026-04-29 01:37:35.127676,2026-04-29 01:39:50.274345,0 days 00:02:15.146669,huber,4,0.16661646377244627,6,2.3580799711413936,16,0.07036973928004242,3,4,3,3,4,1,4,2,4,0.0005612239698890053,6,17,0.6665989953904287,5,4,0.0021287671241259944,COMPLETE
36,0.16376150995308586,2026-04-29 01:39:50.275176,2026-04-29 01:40:18.197212,0 days 00:00:27.922036,huber,8,0.16225175766340805,6,2.3203935704112695,16,0.07466998997955898,3,4,2,3,5,1,5,2,4,0.0002714820639199295,6,15,0.6620373004724323,5,3,0.004752972231267572,PRUNED
37,0.15080490272679337,2026-04-29 01:40:18.197971,2026-04-29 01:42:03.098941,0 days 00:01:44.900970,mse,4,0.33939137411209247,8,1.9690418364978095,15,0.05201763270423919,3,5,3,3,4,1,4,2,4,0.0005252794906025994,6,19,0.6624548200257342,5,4,0.0025086243186190054,COMPLETE
38,0.14993474032457055,2026-04-29 01:42:03.099746,2026-04-29 01:43:54.948499,0 days 00:01:51.848753,mse,4,0.38303534576695886,6,2.9819517197924146,13,0.1088054614434755,3,4,3,2,4,1,5,2,5,0.0005448834401424862,5,18,0.6151982727364242,5,5,0.008796068269017568,COMPLETE
