Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
ASD9_uninterested_sharing9,0.0424,0.0375,0.0524,0.895,0.384,0.24,0.11311275049449687,0.7866908968328423,0,5,0,
SUD15_Cigarettes15:PRS_Miscellaneous,0.0201,0.0076,0.0221,0.91,0.385,0.341,0.16434172661834512,0.5913493514267696,0,5,0,
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0154,0.0078,0.0162,0.946,0.387,0.232,0.14748501884799592,0.6961066311982382,0,5,0,
SUD15_Cannabis15:ASD9_difficulty_pretend_play9,-0.0787,0.0054,0.0918,-0.857,0.392,0.385,0.3632686290972491,0.4282408430840481,0,3,0,
SUD15_Painkillers_opioids15:ADHD9_difficulty_waiting9,0.0075,0.0055,0.0088,0.86,0.393,0.34,0.18184714783629352,0.8679142550183612,0,5,0,
SUD15_Alcohol15:SES_birth_country_father,0.0031,0.0019,0.0033,0.948,0.403,0.194,0.1507800001619013,0.8625178108194385,0,5,0,
SCZ15_easily_scared15,-0.0026,0.0012,0.0029,-0.891,0.404,0.409,0.15205587900064277,0.7427221469874901,0,5,0,
ADHD9_often_interrupt9,-0.005,0.0028,0.0054,-0.923,0.404,0.267,0.13052885239162482,0.7158504057461321,0,5,0,
ASD9_talk_too_high_low9,-0.0051,0.0036,0.0053,-0.976,0.407,0.33,0.0540702112685616,0.9965014426618146,0,5,0,
SUD15_Painkillers_opioids15:ADHD9_often_move9,0.0105,0.0032,0.0125,0.843,0.411,0.361,0.24798577449454484,0.6183019575496616,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0064,0.0052,0.006,-1.054,0.415,0.299,0.023569236308063957,0.9288805115068588,1,5,20,
SUD15_OtherDrugs15:ADHD9_often_interrupt9,0.0114,0.0076,0.0125,0.872,0.419,0.42,0.12028000891589574,0.7233952624874069,0,5,0,
SUD15_Snuff15:SCZ15_unhappy15,0.0061,0.0041,0.0066,0.921,0.421,0.354,0.0800754528046137,0.8784470707436338,0,5,0,
SUD15_Cigarettes15:ADHD9_fail_close_attention9,-0.0046,0.0016,0.0055,-0.834,0.422,0.386,0.23198817606849786,0.7250123373944768,0,5,0,
ADHD9_easily_distracted9,0.0041,0.0022,0.0047,0.877,0.423,0.513,0.13044283525163536,0.7381007379404889,0,5,0,
SUD15_Snuff15:ADHD9_easily_distracted9,0.0069,0.0044,0.0079,0.88,0.424,0.355,0.14031087317923152,0.9780919904305101,0,5,0,
PRS_Miscellaneous,0.0164,0.0056,0.02,0.821,0.426,0.451,0.19252427657244153,0.5440094982355599,0,5,0,
SUD15_Cigarettes15:ASD9_delay_language9,0.0049,0.004,0.006,0.814,0.429,0.363,0.13749306933810246,0.8632218868540131,0,5,0,
SUD15_Cigarettes15:ASD9_difficulty_express9,-0.0145,0.0306,0.0334,-0.424,0.432,0.312,0.24183666568009698,0.7622122014956036,0,5,0,
